row,you_id,cpu_id,viewport,status
001,sample-d08,sample-d08,851x393,clean
002,sample-d08,sample-d11,desktop,clean-public-rerun-seed-unverifiable
003,sample-d08,deck-1784115364915,desktop,clean
004,sample-d08,deck-1784115404288,desktop,clean
005,sample-d08,deck-1784115417710,desktop,clean
006,sample-d08,deck-1784115431945,desktop,clean
007,sample-d08,deck-1784115445284,desktop,clean
008,sample-d08,deck-1785068468834,desktop,clean
009,sample-d08,deck-1785077234307,desktop,clean
010,sample-d08,deck-1785077473170,desktop,clean
011,sample-d11,sample-d11,desktop,clean
012,sample-d11,deck-1784115364915,desktop,clean
013,sample-d11,deck-1784115404288,desktop,clean
014,sample-d11,deck-1784115417710,desktop,clean
015,sample-d11,deck-1784115431945,desktop,clean-public-rerun-seed-unverifiable
016,sample-d11,deck-1784115445284,desktop,clean-public-seed-unverifiable
017,sample-d11,deck-1785068468834,desktop,clean-public-seed-unverifiable
018,sample-d11,deck-1785077234307,desktop,clean-public-seed-unverifiable
019,sample-d11,deck-1785077473170,desktop,clean-public-rerun-seed-unverifiable
020,deck-1784115364915,deck-1784115364915,desktop,clean-public-rerun-seed-unverifiable
021,deck-1784115364915,deck-1784115404288,desktop,clean-public-rerun-seed-unverifiable
022,deck-1784115364915,deck-1784115417710,desktop,clean-public-rerun-seed-unverifiable
023,deck-1784115364915,deck-1784115431945,desktop,clean-public-rerun-seed-unverifiable
024,deck-1784115364915,deck-1784115445284,desktop,clean
025,deck-1784115364915,deck-1785068468834,desktop,clean-public-seed-unverifiable
026,deck-1784115364915,deck-1785077234307,desktop,clean-public-seed-unverifiable
027,deck-1784115364915,deck-1785077473170,desktop,clean-public-seed-unverifiable
028,deck-1784115404288,deck-1784115404288,desktop,clean-public-seed-unverifiable
029,deck-1784115404288,deck-1784115417710,desktop,clean-public-seed-unverifiable
030,deck-1784115404288,deck-1784115431945,desktop,clean-public-seed-unverifiable
031,deck-1784115404288,deck-1784115445284,desktop,clean-public-seed-unverifiable
032,deck-1784115404288,deck-1785068468834,desktop,clean-public-seed-unverifiable
033,deck-1784115404288,deck-1785077234307,desktop,clean-public-seed-unverifiable
034,deck-1784115404288,deck-1785077473170,desktop,clean-public-seed-unverifiable
035,deck-1784115417710,deck-1784115417710,desktop,clean-public-seed-unverifiable
036,deck-1784115417710,deck-1784115431945,desktop,clean-public-seed-unverifiable
037,deck-1784115417710,deck-1784115445284,desktop,clean-public-seed-unverifiable
038,deck-1784115417710,deck-1785068468834,desktop,clean-public-seed-unverifiable
039,deck-1784115417710,deck-1785077234307,desktop,clean-public-seed-unverifiable
040,deck-1784115417710,deck-1785077473170,desktop,clean-public-seed-unverifiable
041,deck-1784115431945,deck-1784115431945,desktop,clean-public-seed-unverifiable
042,deck-1784115431945,deck-1784115445284,desktop,clean-public-seed-unverifiable
043,deck-1784115431945,deck-1785068468834,desktop,clean-public-seed-unverifiable
044,deck-1784115431945,deck-1785077234307,desktop,clean-public-seed-unverifiable
045,deck-1784115431945,deck-1785077473170,desktop,clean-public-seed-unverifiable
046,deck-1784115445284,deck-1784115445284,desktop,clean-public-seed-unverifiable
047,deck-1784115445284,deck-1785068468834,desktop,clean-public-seed-unverifiable
048,deck-1784115445284,deck-1785077234307,desktop,clean-public-seed-unverifiable
049,deck-1784115445284,deck-1785077473170,desktop,clean-public-seed-unverifiable
050,deck-1785068468834,deck-1785068468834,desktop,clean-public-seed-unverifiable
051,deck-1785068468834,deck-1785077234307,desktop,clean-public-seed-unverifiable
052,deck-1785068468834,deck-1785077473170,desktop,clean-public-seed-unverifiable
053,deck-1785077234307,deck-1785077234307,desktop,clean-public-seed-unverifiable
054,deck-1785077234307,deck-1785077473170,desktop,clean-public-seed-unverifiable
055,deck-1785077473170,deck-1785077473170,desktop,clean-public-seed-unverifiable
